b 9 5 5 1 1 5 7 d 5 1 1 5 5 3 b 
a 8 5 5 6 c 1 5 5 1 6 c 5 5 2 a 
a 8 1 5 3 9 4 5 5 4 3 9 5 1 2 a 
8 2 c 3 8 0 3 9 3 9 0 2 9 6 8 2 
a a b a a a c 2 8 6 a a a b a a 
a a a 8 6 a f a a f a c 2 a a a 
8 2 e 8 3 c 5 6 c 5 6 9 2 e 8 2 
a c 5 6 8 5 3 9 3 9 3 a 8 5 6 a 
a 9 5 3 8 5 6 c 4 6 c 0 0 5 3 a 
8 2 b 8 6 9 5 3 9 5 3 e a b 8 2 
a a a 8 3 a f a a f a 9 2 a a a 
a a e a a a 9 2 8 3 a a a e a a 
8 2 9 6 8 0 6 c 6 c 0 2 c 3 8 2 
a 8 4 5 6 c 1 5 5 1 6 c 5 4 2 a 
a 8 5 5 3 9 4 5 5 4 3 9 5 5 2 a 
e c 5 5 4 4 5 7 d 5 4 4 5 5 6 e 
