d 5 5 1 5 5 1 5 1 5 5 1 7 d 1 3 
9 1 3 a b 9 4 5 6 9 7 c 5 5 2 a 
a a a a a c 3 b 9 4 5 5 5 3 c 2 
8 4 2 a a 9 6 8 6 d 1 5 3 c 5 2 
c 3 a a a c 3 a 9 5 4 7 c 5 5 6 
9 4 2 a a 9 6 a c 5 1 5 3 9 3 b 
c 3 a a a c 3 c 5 3 8 1 4 2 8 2 
9 6 a a a 9 6 9 3 a a 8 1 4 2 a 
c 3 a a 8 6 b c 2 a c 2 8 1 4 2 
9 6 a 8 6 9 2 d 2 c 3 c 2 8 1 6 
c 3 c 6 9 6 c 3 c 3 c 3 c 2 8 3 
9 4 7 9 2 9 3 c 3 c 3 c 3 c 2 a 
c 3 9 6 e a c 3 c 3 c 3 c 3 e a 
9 4 4 3 9 4 1 4 3 c 3 c 3 c 3 a 
a 9 5 6 c 5 4 5 4 5 6 d 4 5 6 a 
e c 5 5 5 5 5 5 5 5 5 5 5 5 5 6 
