9 1 5 1 1 5 5 1 3 b b b 9 5 5 3 
a e b e e b d 6 8 0 0 0 0 5 3 a 
a 9 4 5 5 4 5 3 e e e e e b e a 
a a 9 5 5 3 b c 5 5 5 5 5 4 3 a 
a a 8 5 5 4 4 1 5 5 1 5 1 7 8 6 
a a 8 5 5 5 7 a 9 5 6 d 2 d 0 7 
a a 8 5 5 5 1 6 c 5 1 1 2 d 0 7 
a a a 9 5 3 a 9 3 f a e a d 0 7 
a a 8 4 5 2 a c 4 5 6 9 6 d 4 3 
a a 8 5 7 e 8 3 d 7 b 8 5 3 d 2 
a a 8 5 5 3 a c 1 5 2 c 3 a b a 
a a a 9 7 a 8 5 6 9 0 5 4 0 6 a 
a c 4 0 3 a e 9 5 6 c 1 3 a d 2 
8 5 3 a e 8 7 c 1 1 7 a a a b a 
a b a c 5 4 5 5 6 c 5 4 4 6 c 2 
e e c 5 5 5 5 5 5 5 5 5 5 5 5 6 
