9 1 5 3 d 1 1 5 1 5 1 7 b d 1 3 
a c 3 c 1 2 c 3 c 3 c 1 4 1 6 a 
8 3 8 5 6 8 3 a d 4 1 6 9 2 9 6 
a c 6 9 1 6 8 4 3 b c 5 2 c 2 b 
8 3 9 6 a 9 6 9 6 8 5 3 c 3 8 6 
a c 2 9 4 0 1 6 9 6 9 0 7 8 6 b 
c 3 8 6 9 6 a 9 4 1 6 8 3 c 1 2 
b 8 4 1 2 9 6 8 3 a 9 6 8 5 2 e 
8 6 9 6 8 4 3 c 6 8 4 3 8 3 c 3 
8 5 2 d 0 3 c 3 9 6 9 2 a c 5 2 
c 3 c 1 2 c 5 2 c 1 6 c 6 9 1 2 
b c 1 6 8 5 3 c 3 e 9 7 9 6 a e 
a d 2 9 6 9 6 9 4 1 6 9 6 9 4 3 
8 3 8 6 9 2 9 4 3 c 3 c 1 0 1 2 
a 8 6 9 6 8 6 9 2 9 4 3 a e e a 
e c 5 6 d 4 5 6 c 6 d 4 4 5 5 6 
