9 3 9 3 9 3 9 3 b b 9 1 7 9 5 3 
a a a 8 2 8 2 8 0 0 6 8 3 c 3 a 
a a a e c 6 c 6 e a 9 2 8 3 a a 
a a a b 9 3 b 9 3 c 6 c 2 a a a 
a a a 8 6 c 2 a a 9 5 3 c 2 a a 
a a a 8 5 3 c 6 c 6 9 4 5 6 a a 
a a a e 9 4 3 9 5 3 c 5 3 9 6 a 
a a a b c 1 6 8 3 8 5 5 6 c 3 a 
a a 8 2 9 4 7 8 6 a 9 3 9 3 a a 
a a a a c 3 b c 5 4 6 c 6 c 6 a 
a 8 6 8 3 c 0 7 9 3 9 3 9 3 9 6 
a a 9 6 c 5 4 7 a 8 6 c 2 a c 3 
a c 6 9 3 9 3 b 8 4 7 d 4 2 b a 
a b b a a a a 8 0 3 9 3 9 4 2 a 
8 0 0 0 0 0 0 2 a 8 2 8 2 9 2 a 
e e e e e e e c 4 6 c 6 c 6 c 6 
