b 9 5 1 3 9 1 5 5 5 5 5 5 7 9 3 
a 8 3 a c 2 8 5 5 1 1 5 5 1 2 a 
8 2 a 8 3 a c 1 5 6 8 5 5 2 a a 
a a a e c 0 3 8 1 5 0 1 5 2 a a 
a a a 9 1 6 c 2 8 1 2 a f a a a 
8 0 2 a c 1 3 a a a a 8 5 6 8 2 
a a a a 9 2 a c 6 a 8 0 1 5 2 a 
a e e c 6 c 6 9 3 c 6 a a b a a 
a b b 9 3 9 3 c 4 5 5 2 a e a a 
a a a a c 2 a 9 3 9 3 8 4 5 2 a 
8 0 2 a 9 4 6 a a a a 8 5 3 8 2 
a a a c 4 3 9 2 8 4 2 a f a a a 
a a a b 9 0 6 8 4 5 0 4 5 2 a a 
a a a 8 6 a 9 4 5 3 8 5 5 2 a a 
a 8 6 a 9 2 8 5 5 4 4 5 5 4 2 a 
e c 5 4 6 c 4 5 5 5 5 5 5 7 c 6 
