b b 9 3 9 1 5 1 5 1 5 3 9 5 1 3 
a 8 6 c 6 e d 0 5 0 3 8 6 9 6 a 
a 8 5 1 5 3 d 0 5 2 a e 9 6 9 6 
a c 3 e b a d 0 5 2 a 9 6 9 4 3 
a b c 3 c 2 d 4 5 6 a 8 3 c 1 6 
a a b c 3 e 9 3 9 3 a a c 3 c 3 
8 4 0 3 c 3 a c 6 c 6 8 3 c 3 a 
8 5 2 c 5 2 a 9 1 3 b e c 3 c 2 
8 5 2 9 5 2 a c 6 c 4 5 3 c 3 a 
8 1 0 6 9 6 8 5 5 7 9 5 4 3 c 2 
a a e 9 6 b c 1 5 3 c 5 3 c 3 a 
a a 9 6 9 2 d 0 5 2 9 5 6 9 6 a 
a 8 6 b e a d 0 5 2 c 5 3 c 3 a 
a 8 5 4 5 6 d 0 5 2 9 5 6 9 6 a 
a 8 3 9 3 b d 0 5 2 c 5 3 c 5 2 
e e c 6 c 6 d 4 5 4 5 5 4 5 5 6 
