b b 9 3 9 3 b 9 5 1 5 1 1 1 5 3 
a 8 6 8 6 c 2 8 5 0 5 2 a e 9 2 
a 8 3 8 5 5 2 8 5 0 5 2 e 9 6 a 
a a a 8 5 5 0 0 1 0 1 6 9 6 9 2 
8 2 e 8 5 3 a a a a e 9 6 9 2 a 
a a 9 0 3 a a a a e 9 6 9 2 8 2 
a a a a a e a e e 9 6 9 2 8 2 a 
a 8 4 0 4 3 a 9 3 8 5 6 c 6 c 6 
a 8 1 0 1 6 a c 4 4 5 3 9 3 9 3 
a a a a a b a b b b b a a a a a 
a a c 0 6 a a a a a a a a a a a 
8 2 b 8 5 6 a a a a a a a a a a 
a a a 8 5 5 0 0 4 0 6 a a a a a 
a 8 6 c 5 5 2 8 5 0 7 a a a a a 
a 8 3 9 3 9 2 8 5 0 7 c 6 c 6 a 
e e c 6 c 6 e c 5 4 5 5 5 5 5 6 
