b b 9 3 9 1 5 1 5 1 5 3 b b b b 
a 8 6 c 6 e d 0 7 8 3 8 0 0 0 2 
a 8 5 1 5 3 d 0 7 a a e e e e a 
a 8 3 a 9 6 d 0 7 a a 9 5 1 5 2 
a a a a c 3 d 4 7 e a 8 3 c 3 e 
a a e a 9 6 9 3 9 3 a a c 3 c 3 
8 4 3 e c 7 a c 6 c 6 c 3 c 3 a 
8 5 0 5 5 3 a 9 1 3 9 3 c 3 c 2 
8 5 0 5 5 6 a c 6 c 6 c 3 c 3 a 
8 1 6 b 9 7 8 5 5 5 5 7 8 3 c 2 
a a b a c 3 c 1 5 1 5 7 a 8 3 a 
a a a a 9 6 d 0 7 a 9 5 6 a a a 
a 8 6 a c 3 d 0 7 a c 5 3 a a a 
a 8 5 4 5 6 d 0 7 8 5 5 6 a a a 
a 8 3 9 3 b d 0 7 8 5 5 5 2 a a 
e e c 6 c 6 d 4 5 4 5 5 5 6 c 6 
