9 5 3 9 5 1 5 5 1 5 5 1 5 5 3 b 
8 3 8 4 1 4 3 9 0 5 1 4 5 5 0 2 
a 8 4 1 2 9 0 2 8 1 6 9 3 9 2 a 
8 4 5 6 c 6 a 8 2 a 9 2 8 2 a a 
a 9 1 1 5 3 c 2 8 2 a 8 2 8 2 a 
a a a 8 3 8 3 8 2 e 8 2 8 2 a a 
a 8 2 a c 2 e e e 9 2 8 2 8 2 a 
a a a c 7 c 3 9 3 a 8 2 8 2 a a 
a 8 4 1 5 7 c 4 6 8 2 8 2 8 2 a 
a 8 1 0 3 9 3 9 1 6 8 2 8 2 a a 
a a a a c 2 a e 8 1 6 c 6 c 6 a 
a c 4 4 5 4 0 7 a c 3 b b b d 2 
a 9 1 3 9 3 c 3 c 1 0 0 0 0 3 a 
a a a a a 8 3 c 3 e e e e e a a 
8 0 4 0 4 2 e d 4 5 5 5 5 5 6 a 
e c 5 4 5 4 5 5 5 5 5 5 5 5 5 6 
