d 1 3 9 3 9 3 9 3 9 3 9 3 9 3 b 
9 6 c 6 c 6 c 6 c 6 c 6 c 6 c 2 
c 3 d 1 3 9 3 9 3 9 3 9 3 b 9 6 
9 6 9 6 c 6 c 6 c 6 c 6 c 2 c 3 
c 3 c 3 d 1 3 9 3 9 3 b 9 6 9 6 
9 6 9 6 9 6 c 6 c 6 c 2 c 3 c 3 
c 3 c 3 c 3 9 5 5 3 9 6 9 6 9 6 
9 6 9 6 9 6 a 9 3 a c 3 c 3 c 3 
c 3 c 3 c 3 a 8 6 a 9 6 9 6 9 6 
9 6 9 6 d 4 6 c 5 6 c 3 c 3 c 3 
c 3 8 3 9 3 9 3 9 3 9 6 9 6 9 6 
9 6 e c 6 c 6 c 6 c 4 7 c 3 c 3 
c 3 9 3 9 3 9 3 9 3 9 3 9 6 9 6 
b c 6 c 6 c 6 c 6 c 6 c 4 7 c 3 
8 3 9 3 9 3 9 3 9 3 9 3 9 3 9 6 
e c 6 c 6 c 6 c 6 c 6 c 6 c 4 7 
