9 3 d 5 1 5 5 1 1 5 5 1 5 7 9 3 
a a f f 8 5 5 2 a d 5 2 f f a a 
a a f f a d 7 a a d 7 a f f a a 
a c 5 5 6 9 3 a a 9 3 c 5 5 6 a 
8 5 5 5 5 2 a 8 2 a 8 5 5 5 5 2 
a 9 5 5 3 c 6 a a c 6 9 5 5 3 a 
a c 5 3 a d 7 a e d 7 a 9 5 6 a 
8 5 3 a c 5 3 8 3 9 5 6 a 9 5 2 
8 7 a c 5 3 a c 6 a 9 5 6 a d 2 
a f c 5 7 a c 3 9 6 a d 5 6 f a 
a 9 5 3 f a f 8 2 f a f 9 5 3 a 
a c 3 c 5 2 f a a f 8 5 6 9 6 a 
c 5 4 5 5 4 5 2 8 5 4 5 5 4 5 2 
9 5 5 1 5 5 3 a a 9 5 1 1 1 5 2 
a d 7 a f 9 6 c 2 a f a a a f a 
e d 5 4 5 4 5 5 6 c 5 4 4 4 5 6 
