9 1 7 9 7 b 9 3 b b b 9 3 9 5 3 
a a 9 2 9 0 2 8 0 0 0 2 8 0 5 2 
a a a a a e c 6 e e e c 6 c 1 6 
a a a a 8 5 1 7 9 5 3 9 3 9 0 3 
a a a 8 6 9 0 7 c 3 c 6 c 6 e a 
a a a e 9 6 e d 1 0 7 9 5 1 5 6 
a a a 9 6 b b 9 6 e 9 2 9 6 9 3 
a a 8 6 9 0 2 8 3 9 2 e c 3 a a 
a 8 6 9 6 e a 8 6 a c 3 9 6 a a 
a a 9 6 b 9 2 c 3 c 3 a c 3 a a 
a 8 6 b 8 2 8 3 c 3 8 6 9 6 a a 
a e b 8 6 8 6 8 7 c 6 d 4 5 6 a 
a b 8 2 9 2 9 2 b 9 3 b 9 3 9 6 
a 8 2 8 2 8 2 8 0 2 8 0 2 c 6 b 
8 2 8 2 8 2 8 2 e c 6 e c 5 5 2 
e c 6 c 6 c 6 c 5 5 5 5 5 5 5 6 
