f f f 9 1 1 1 1 1 1 1 1 1 1 1 3 
f f f 8 0 0 0 0 0 0 0 0 0 0 0 2 
b f f 8 0 0 0 0 0 0 0 0 0 0 0 2 
a f f 8 0 0 0 0 0 0 0 0 0 0 0 2 
a f f 8 0 4 4 4 0 0 0 0 0 0 0 2 
e f f 8 2 f f f c 4 4 4 4 4 4 6 
f f f 8 2 f f f f f f f f f f f 
f f f 8 2 f f 9 3 f f 9 1 1 3 f 
f f d 0 2 f f c 2 f 9 0 0 0 0 3 
f f f 8 2 f f f e f c 0 0 0 0 2 
f f f 8 2 f f f f f f 8 0 0 0 2 
b f f 8 2 f d 5 5 5 1 0 0 0 0 2 
e f f 8 2 f f f f f c 4 4 4 4 2 
f f f c 4 5 5 7 f f f f f f f e 
b f f f f f f f f f f f d 7 f f 
e f f f f f d 5 5 5 7 f f f f f 
