b 9 5 5 5 5 5 3 d 1 1 3 9 1 1 3 
a c 1 1 1 3 b 8 5 2 a a e a a a 
a b a a a a a 8 5 6 e 8 5 6 e a 
a a a a a a a 8 5 5 5 0 5 5 3 a 
a 8 2 a a a a 8 5 5 5 0 5 5 2 a 
a a a 8 0 0 2 8 5 5 5 0 5 5 2 a 
a e a a a a a c 5 5 5 4 5 5 6 a 
8 5 0 2 a a a 9 1 5 5 5 5 5 3 a 
a b a a a a a c 6 d 5 5 5 5 4 2 
a a a a a a a 9 5 5 5 1 5 5 3 a 
a a a 8 0 0 2 8 5 5 5 0 5 5 2 a 
a 8 2 a a a a 8 5 5 5 0 5 5 2 a 
a a a a a a a 8 5 3 b 8 5 5 6 a 
a e a a a a a 8 5 2 a 8 5 3 b a 
a 9 4 4 4 4 6 8 5 2 a a b a a a 
e c 5 5 5 5 5 6 d 4 4 6 c 4 4 6 
