9 5 5 5 5 7 9 3 9 5 5 5 5 1 5 3 
8 5 5 5 5 5 6 a c 5 5 5 5 2 b a 
a 9 5 5 5 5 5 4 5 5 5 5 3 a a a 
c 2 9 5 1 5 5 1 5 5 5 3 a a c 2 
9 2 c 5 0 5 5 4 5 1 3 a a a b a 
a e d 3 8 5 5 5 1 6 a a c 6 a a 
8 1 5 2 8 5 5 1 6 b a a 9 1 0 2 
a 8 3 a a 9 3 8 3 a a a a a a a 
a a a a a a a c 6 c 0 6 a a a a 
c 4 6 a e 8 4 5 5 5 4 5 6 a a a 
9 5 5 4 3 c 5 5 5 5 5 5 5 6 a a 
a 9 5 3 a d 5 1 1 5 5 5 5 5 4 6 
a a 9 6 8 5 3 a c 3 d 5 5 1 1 3 
a 8 4 5 6 b e c 5 4 5 5 3 a a a 
a 8 5 5 5 0 5 5 5 1 5 7 a a a a 
e c 5 5 5 4 5 5 7 c 5 5 4 4 4 6 
