9 3 9 3 d 1 7 9 5 3 9 3 9 3 9 3 
a c 6 c 3 c 5 2 b c 2 8 2 8 2 a 
a d 1 3 c 3 d 4 2 b c 2 8 2 8 2 
a 9 6 c 3 c 3 d 4 2 b c 6 c 6 a 
a c 3 d 0 7 c 3 d 4 2 b d 1 5 2 
a 9 6 d 0 7 b c 3 d 4 2 b c 3 a 
a c 3 d 0 7 a d 4 3 d 4 2 b a e 
a 9 6 d 0 7 a 9 3 c 3 d 4 2 c 3 
a c 3 d 0 7 a c 2 b c 3 d 4 3 a 
a 9 6 d 0 7 8 3 8 4 3 c 3 d 2 a 
a c 3 d 0 7 a e e 9 4 3 c 1 2 a 
a 9 6 d 0 7 a b 9 4 7 c 3 e a a 
a c 3 d 0 7 a 8 4 7 d 5 4 3 a a 
a 9 6 d 0 7 8 4 5 5 5 5 5 6 a a 
a a d 5 4 5 6 d 5 5 5 5 5 5 6 a 
e c 5 5 5 5 5 5 5 5 5 5 5 5 5 6 
