b b 9 5 5 5 7 9 3 b d 5 5 5 5 3 
a a 8 1 5 5 5 6 8 0 5 5 7 9 5 2 
a 8 2 8 5 5 5 1 6 8 5 5 3 8 3 a 
8 2 c 0 5 5 3 8 5 0 7 9 4 6 a a 
a a 9 0 3 9 0 4 3 c 1 4 1 3 8 2 
a 8 6 a 8 2 a b 8 5 6 d 2 8 2 a 
a 8 3 a a a 8 6 c 5 5 7 a a a a 
8 2 c 6 c 4 6 9 3 9 5 5 0 6 8 6 
a a 9 3 9 1 3 c 4 4 5 5 0 3 8 3 
a 8 6 a a a 8 3 9 5 5 7 a a a a 
a 8 3 a 8 2 a e 8 5 3 d 2 8 2 a 
a a c 0 6 c 0 1 6 9 4 1 4 6 8 2 
a a 9 0 5 5 6 8 5 0 7 c 1 3 a a 
a 8 2 8 5 5 5 4 3 8 5 5 6 8 6 a 
a a 8 4 5 5 5 3 8 0 5 5 7 c 5 2 
e e c 5 5 5 7 c 6 e d 5 5 5 5 6 
