9 5 5 7 b d 1 5 5 5 5 1 5 1 5 3 
a d 5 5 0 3 8 5 5 5 3 a b a b a 
8 5 5 1 6 a 8 5 5 5 2 a a a a a 
a 9 5 4 7 a a 9 1 5 2 a a a a a 
a a 9 5 5 6 a e c 1 2 a a a a a 
a a a b 9 3 c 5 5 4 2 a a e a a 
a a a a a a 9 5 5 3 a a a 9 4 2 
a a c 2 a a a 9 1 0 2 c 2 8 5 2 
a c 5 6 a a a c 6 a a b a a 9 2 
a d 5 3 a a c 5 5 2 e a a 8 6 a 
8 5 5 0 2 a d 1 3 c 3 a a 8 5 6 
a d 1 2 a a 9 6 c 5 6 c 4 0 3 b 
a 9 6 a e a 8 5 5 5 1 7 b a 8 2 
a a 9 6 9 2 e 9 5 5 0 5 6 a a a 
a e a 9 2 8 5 0 5 5 4 5 5 6 a e 
e d 4 6 e c 7 c 5 5 5 5 5 5 4 7 
