9 5 1 3 d 3 9 5 1 3 9 1 1 3 d 3 
8 3 a c 3 8 2 d 6 c 6 e e 8 5 2 
a 8 0 7 8 2 a 9 5 5 1 3 d 4 5 2 
8 2 a 9 2 8 6 a b b e c 3 b d 2 
a a 8 2 e c 3 c 2 8 3 b c 2 d 2 
a 8 2 8 3 b c 3 8 2 a 8 3 c 3 a 
8 6 a e 8 6 b e e 8 2 e 8 3 8 6 
a 9 2 b a b 8 1 3 e a 9 2 e c 3 
a e a a 8 6 a c 6 d 2 a c 3 b a 
8 1 4 0 4 7 c 5 5 5 6 e 9 6 8 2 
a 8 3 a b b 9 7 b b b 9 2 b a e 
a a c 0 4 4 4 3 a a 8 6 8 6 8 3 
a a 9 6 b b b c 6 8 6 9 0 7 a a 
a 8 4 3 8 0 4 5 5 2 b a a b 8 2 
a a 9 2 a 8 1 5 3 8 0 6 c 0 6 a 
e c 6 c 4 6 c 5 4 6 c 7 d 4 5 6 
