b 9 3 d 3 9 5 5 5 5 3 9 1 5 5 3 
a a a b a c 1 1 5 5 6 e c 1 5 6 
a a a a a d 2 8 1 5 5 3 9 4 5 3 
a a 8 2 8 1 4 2 c 5 1 4 0 5 7 e 
a a a a a 8 3 8 5 5 4 5 0 5 7 b 
a a a 8 2 a c 4 3 9 5 3 8 5 5 6 
8 2 8 2 8 4 1 7 c 6 b c 0 5 5 3 
a a e e c 5 6 9 1 1 4 5 4 5 5 6 
a a 9 3 9 5 3 c 6 c 1 5 1 5 5 3 
a a a a 8 5 4 5 7 b e b 8 5 5 6 
a a a a 8 5 5 1 5 4 5 2 8 5 5 3 
a a a 8 4 1 5 4 5 5 7 a 8 5 7 e 
a 8 2 8 3 a 9 5 5 1 3 8 0 5 7 b 
a a a a 8 2 8 5 1 2 a a 8 5 5 6 
a a a a a 8 2 f a a 8 2 8 5 5 3 
e e c 6 c 6 c 5 6 c 6 c 4 5 5 6 
