b b 9 1 5 5 1 5 5 1 5 5 3 9 3 b 
a a a c 5 1 4 5 1 0 5 5 2 a a a 
a a a 9 5 4 1 3 a a b f a a a a 
a 8 6 c 5 5 2 a a a 8 5 6 a a a 
8 0 5 5 5 7 a c 6 c 4 1 3 a a a 
a 8 5 5 5 3 e d 1 5 3 a a a a a 
a a d 5 7 a 9 5 4 3 a a a a a a 
a c 5 5 5 6 a 9 3 c 4 0 6 a a a 
a 9 5 5 5 3 8 4 6 9 1 0 5 2 8 2 
a a d 5 7 a c 5 1 6 a 8 3 a a a 
a 8 5 5 5 6 b d 4 5 6 a a a a a 
8 0 5 5 5 7 a 9 3 9 1 4 6 a a a 
a 8 3 9 5 5 2 a a a 8 5 3 a a a 
a a a c 5 1 4 6 a a e f a a a a 
a a a 9 5 4 1 5 4 0 5 7 a a a a 
e e c 4 5 5 4 5 5 4 5 5 6 c 6 e 
