b d 5 1 5 5 1 7 9 1 1 1 1 1 7 b 
8 5 5 2 b d 0 7 8 0 0 0 0 6 9 6 
8 5 1 6 a d 0 7 8 0 0 0 6 9 6 b 
8 5 0 7 a d 0 7 8 0 0 6 9 6 9 2 
c 3 c 5 6 d 0 7 8 0 6 9 6 9 0 2 
9 0 7 9 3 d 0 7 8 6 9 6 9 0 0 2 
a e 9 6 a d 0 7 e 9 6 9 0 0 0 2 
c 5 4 5 6 d 4 1 3 e d 4 4 4 4 6 
9 7 9 7 9 7 9 4 6 9 1 1 1 1 1 3 
8 5 6 9 6 9 6 b 9 0 0 0 0 0 0 2 
8 7 9 6 9 6 9 2 8 0 0 0 0 0 0 2 
a 9 6 9 6 9 2 a 8 0 0 0 0 0 0 2 
8 6 9 6 9 6 a a 8 0 0 0 0 0 0 2 
a 9 6 b a b a a 8 0 0 0 0 0 0 2 
8 4 1 6 a 8 2 a 8 0 0 0 0 0 0 2 
e d 4 5 4 6 c 6 c 4 4 4 4 4 4 6 
