f f f 9 3 9 3 9 3 9 3 9 3 9 3 b 
f f f a a a a a a a a a a a a a 
b f f a a a a a a a a a a a c 6 
a f f a a a a a a a a a a c 5 3 
a f f a c 6 c 6 c 6 a a c 5 5 6 
e f f a b f f f d 5 6 c 5 5 5 7 
f f f 8 2 f f f f f f f f f f f 
f f f a a f f 9 3 f f 9 5 5 7 f 
f f d 2 a f f c 6 f b a 9 5 5 3 
f f f 8 2 f f f f f e a a 9 5 6 
f f f a a f f f f f f a a c 5 7 
b f f a a f d 5 5 7 b a c 5 5 3 
e f f c 2 f f f f f e c 5 5 5 6 
f f f f e d 5 7 f f f f f f f f 
b f f f f f f f f f f f d 7 f f 
e f f f f f d 7 f d 7 f f f f f 
