9 5 1 5 1 3 d 1 5 1 5 3 9 5 3 b 
a f a f a c 3 c 3 a d 2 a b c 2 
c 1 4 5 6 b c 3 e a b c 2 8 7 a 
b e 9 5 1 4 3 c 5 6 8 7 8 6 9 6 
a 9 6 9 6 b a 9 5 5 2 b a 9 6 b 
a a d 2 9 4 4 4 7 d 2 a a a d 2 
a a 9 6 c 3 9 5 5 1 0 6 8 4 5 2 
8 2 c 3 9 6 a 9 3 a c 3 a 9 5 2 
a a d 2 c 3 a c 2 a 9 6 a e 9 6 
a a d 2 9 6 c 5 4 6 c 3 c 5 6 b 
a a 9 2 c 5 5 5 5 5 5 4 1 5 5 6 
a a a c 7 9 5 5 5 1 1 1 4 3 9 7 
a a c 5 5 6 d 5 3 a a a b c 4 3 
a c 5 5 5 5 1 7 a a a c 6 9 5 6 
a 9 5 5 5 5 0 5 6 a c 5 5 6 d 3 
e e d 5 5 5 4 5 5 4 5 5 5 5 5 6 
