b f b 9 3 f 9 5 3 d 1 3 f b d 7 
8 5 6 a c 5 2 d 4 5 6 8 5 4 5 3 
a 9 5 0 5 3 8 5 5 5 3 a 9 5 7 a 
a a f a f a a 9 5 3 a a a d 5 2 
8 0 5 0 5 0 2 8 5 6 a a 8 5 7 a 
a a f a f a a a d 5 2 a 8 1 5 6 
a c 5 0 5 6 a c 5 3 e a e 8 5 3 
8 5 7 a d 5 2 9 3 8 7 8 5 2 9 2 
8 5 7 8 5 7 a c 4 4 5 2 b a a a 
8 5 3 a d 5 6 9 5 7 b e a a a a 
a b a 8 5 5 3 8 5 3 8 5 2 e a a 
c 6 a 8 5 7 a a b c 6 b c 5 4 2 
9 5 4 2 d 5 2 a 8 5 5 0 5 5 5 2 
a 9 3 8 5 7 a a a d 7 a d 5 5 2 
a a a 8 5 5 6 a 8 5 5 0 5 5 5 2 
e e c 4 5 5 5 4 6 d 7 e d 5 5 6 
