b b b d 3 9 5 5 5 5 3 9 1 5 5 3 
a a a b a c 5 1 5 5 6 e c 1 5 6 
a a a a a d 5 0 5 5 5 5 1 4 5 3 
a 8 0 2 8 5 5 0 5 5 5 7 8 5 7 a 
a a a a a 9 3 8 5 5 5 5 0 5 7 a 
a a a 8 2 a c 4 5 5 5 7 8 5 1 6 
8 2 c 2 8 4 1 5 5 7 d 5 0 5 6 b 
a 8 5 6 c 5 6 9 1 1 5 5 4 5 5 6 
a 8 5 3 9 5 3 c 6 c 5 5 1 5 5 3 
a a 9 2 8 1 4 5 5 7 d 5 0 5 3 e 
a a a 8 2 a 9 1 5 5 5 7 8 5 4 3 
a a a a a c 6 8 5 5 5 5 0 5 7 a 
a 8 0 2 8 5 5 0 5 5 5 7 8 5 7 a 
a a a a a d 5 0 5 5 5 5 4 1 5 6 
a a a e a 9 5 4 5 5 3 b 9 4 5 3 
e e e d 6 c 5 5 5 5 6 c 4 5 5 6 
