9 1 5 5 5 1 5 5 5 5 7 d 5 5 5 3 
a a 9 5 1 4 7 9 1 5 5 3 d 5 5 2 
a a a f c 1 1 6 8 5 1 0 5 5 7 a 
a a a d 5 2 a 9 6 f e a d 5 5 2 
8 2 8 5 7 a c 6 9 5 3 8 5 5 7 a 
a a a 9 5 4 5 7 8 5 0 2 d 5 5 2 
a a 8 4 1 3 9 5 6 b a 8 5 5 7 a 
a 8 6 9 6 a a 9 3 a a 8 1 1 1 6 
a 8 3 c 3 a 8 4 6 a a a a a a b 
a a 8 1 4 6 c 5 5 4 2 e a a a a 
8 2 a c 5 3 9 5 5 7 c 5 2 a a a 
a a 8 5 7 8 6 f 9 1 5 7 a a a a 
a a a 9 5 2 9 5 2 a 9 5 4 4 2 a 
a a a a 9 4 6 f a c 4 5 1 5 4 2 
a a a e 8 5 1 5 4 5 1 5 0 5 5 2 
e c 4 5 6 f c 5 5 7 c 5 4 5 5 6 
