9 5 5 5 5 5 5 5 7 d 5 5 5 5 5 3 
8 3 d 1 5 1 5 1 7 9 5 1 5 1 5 2 
a 8 1 4 1 4 1 4 3 a 9 6 b 8 5 2 
a e c 5 4 5 4 7 a 8 6 d 0 2 9 2 
a d 1 5 1 5 1 7 a a d 1 6 8 6 a 
a 9 4 1 4 1 4 1 2 c 1 6 d 2 9 2 
a c 3 e b c 5 6 e 9 0 5 3 8 2 a 
8 3 c 5 4 1 7 9 3 a c 3 a a 8 2 
a c 1 7 d 0 7 8 6 c 5 4 6 c 2 a 
a b c 3 d 4 5 4 3 f 9 5 5 3 8 2 
a c 3 c 1 7 9 5 2 9 6 b b c 2 a 
a 9 6 9 6 9 4 7 e c 5 0 4 3 c 2 
a c 1 6 9 4 7 9 3 9 1 0 1 4 3 a 
a 9 6 9 4 7 9 6 a a a a a b c 2 
a 8 5 6 d 5 4 7 e 8 0 0 0 0 1 2 
e c 5 5 5 5 5 5 7 e e e e e e e 
