f 9 1 1 5 1 5 1 5 5 1 5 1 5 5 3 
9 2 a a f a f a b b a 9 4 5 5 2 
a a a a b a b a a a a c 1 5 5 2 
8 2 8 4 4 4 4 4 0 0 4 5 4 5 5 2 
a a 8 5 5 5 5 7 e e d 5 5 5 7 a 
8 2 a 9 5 3 d 5 5 5 1 5 3 9 1 2 
a a a c 3 a 9 5 5 5 2 b a a a a 
8 2 a 9 6 a a 9 1 5 4 2 a a a a 
a a a c 3 c 6 c 6 d 5 2 c 0 6 a 
8 2 8 5 6 d 5 5 5 1 5 6 d 0 7 a 
a a 8 7 9 5 5 5 1 6 9 5 5 4 5 6 
8 2 8 7 a 9 5 5 0 7 a 9 5 5 5 3 
a a 8 7 a a f 9 6 d 2 a 9 5 5 6 
a a 8 7 a a 9 6 d 5 2 a a 9 5 3 
a a c 5 4 4 4 5 5 5 4 6 c 6 9 6 
e c 5 5 5 5 5 5 5 5 5 5 5 5 6 f 
