b 9 3 b 9 3 9 3 9 5 5 5 5 5 5 3 
a a a a a a a a 8 5 5 5 5 5 5 2 
a a 8 6 a a 8 4 0 1 5 1 5 5 7 a 
8 2 8 5 6 8 4 5 2 a b 8 3 9 5 2 
a a 8 5 5 6 d 7 a a e a 8 2 b a 
a a c 1 5 1 5 5 6 c 5 6 a a e a 
a 8 3 8 3 e 9 5 5 3 9 1 6 c 1 2 
8 6 8 6 8 7 8 1 3 8 6 c 3 9 6 e 
8 3 8 3 8 7 a c 6 8 3 9 6 c 3 b 
a 8 6 8 6 b c 5 5 6 c 4 3 9 4 2 
a a 9 4 5 4 5 5 3 9 5 3 a a b a 
a a 8 5 5 3 d 7 a a b a 8 2 e a 
8 2 8 5 3 8 1 5 2 a e 8 6 c 5 2 
a a 8 3 a a 8 1 0 4 5 4 5 5 7 a 
a a a a a a a a 8 5 5 5 5 5 5 2 
e c 6 e c 6 c 6 c 5 5 5 5 5 5 6 
