d 5 5 5 5 5 3 9 3 9 5 5 5 1 5 3 
b 9 5 5 1 3 a a a a 9 1 5 4 3 a 
a a 9 5 2 a 8 2 8 2 a 8 5 3 a a 
8 2 a f a a a a a 8 2 a f a a a 
a a c 1 6 e a a a a a c 1 4 6 a 
a e d 4 5 5 6 c 6 e 8 5 4 5 3 a 
c 5 1 5 5 7 9 1 5 1 4 5 5 1 4 6 
9 5 4 5 5 3 a 8 3 a 9 5 5 4 5 3 
c 5 1 5 5 6 a c 6 a c 5 1 5 5 6 
9 5 4 5 1 7 c 5 5 6 d 5 4 5 5 3 
a 9 5 1 4 7 b 9 3 b 9 5 5 1 3 a 
a a 9 4 3 b a a a a a 9 5 2 a a 
8 2 a f a 8 2 a a 8 2 a f a 8 2 
a a c 1 6 a 8 2 8 2 a 8 5 6 a a 
a c 5 4 5 6 a a a a c 4 5 5 2 a 
e d 5 5 5 5 6 c 6 e d 5 5 5 4 6 
